datetime,open,high,low,close,volume
2022-05-30 06:17:00,1876.91,1917.68,1869.81,1912.57,140943.09590000001
2022-05-30 12:32:00,1912.56,1916.91,1875.74,1876.83,168977.0059
2022-05-30 14:10:00,1876.83,1917.68,1872.71,1914.73,53747.2206
2022-05-30 17:18:00,1914.73,1935.44,1893.0,1933.13,106774.1679
2022-05-30 20:28:00,1933.13,1959.99,1911.51,1952.46,62850.7354
2022-05-30 21:18:00,1952.46,1980.0,1935.0,1978.53,41407.0766
2022-05-31 06:16:00,1978.53,2016.45,1969.59,1970.51,307303.2979
2022-05-31 13:40:00,1970.52,1988.81,1937.01,1940.06,218706.3417
2022-05-31 15:49:00,1940.05,1974.0,1930.09,1971.58,105834.5111
2022-05-31 17:21:00,1971.58,1999.87,1956.18,1957.69,91256.1387
2022-05-31 18:55:00,1957.69,1970.54,1929.45,1930.01,54146.9955
2022-06-01 04:09:00,1930.01,1959.69,1917.29,1917.36,221757.2475
2022-06-01 12:39:00,1917.36,1956.0,1913.76,1954.5,200249.0545
2022-06-01 14:19:00,1954.49,1972.58,1928.34,1928.34,89136.0326
2022-06-01 15:33:00,1928.35,1936.33,1890.06,1893.2,113460.8209
2022-06-01 16:25:00,1893.19,1895.08,1851.81,1854.75,87783.9832
2022-06-01 17:22:00,1854.75,1867.39,1827.46,1828.38,75127.2639
2022-06-01 19:00:00,1828.38,1854.64,1814.49,1815.64,95947.4484
2022-06-01 20:28:00,1815.65,1829.69,1786.36,1791.14,91124.4289
2022-06-01 21:27:00,1791.15,1806.73,1763.75,1805.8,72120.1878
2022-06-01 23:06:00,1805.79,1834.12,1794.0,1832.08,51871.3011
2022-06-02 00:34:00,1832.08,1843.88,1805.62,1806.3,76139.7449
2022-06-02 11:52:00,1806.3,1840.85,1802.0,1840.84,301912.1091
2022-06-02 13:14:00,1840.85,1844.13,1800.0,1803.53,47312.1954
2022-06-02 13:42:00,1803.52,1821.87,1782.42,1821.86,60389.2736
2022-06-02 14:24:00,1821.86,1826.97,1789.29,1789.5,57684.998
2022-06-02 15:22:00,1789.51,1825.54,1784.66,1824.71,55690.1239
2022-06-02 22:07:00,1824.72,1850.0,1800.71,1849.99,180356.0398
2022-06-03 06:55:00,1849.99,1853.05,1814.84,1814.98,185875.9078
2022-06-03 10:23:00,1814.97,1821.45,1782.27,1784.08,100282.0725
2022-06-03 12:56:00,1784.07,1786.68,1740.03,1740.03,160823.1101
2022-06-03 21:43:00,1740.06,1774.98,1737.0,1774.94,296698.2237
2022-06-04 02:09:00,1774.95,1795.0,1756.18,1756.44,91665.7056
2022-06-04 14:30:00,1756.44,1788.12,1748.43,1788.12,190412.9841
2022-06-04 22:06:00,1788.11,1807.63,1767.3,1804.8,120872.2685
2022-06-05 09:36:00,1804.79,1816.0,1776.38,1777.52,146725.0283
2022-06-05 15:56:00,1777.52,1812.84,1773.05,1812.07,91357.9232
2022-06-06 00:48:00,1812.07,1837.5,1795.51,1833.85,199370.1385
2022-06-06 03:03:00,1833.86,1873.2,1833.03,1870.9,117890.7649
2022-06-06 09:23:00,1870.89,1910.58,1867.47,1908.24,210842.7733
2022-06-06 15:12:00,1908.25,1920.0,1878.84,1878.93,206543.843
2022-06-06 16:51:00,1878.93,1892.31,1851.17,1851.55,88645.3966
2022-06-07 00:22:00,1851.55,1876.82,1818.0,1821.69,181973.2996
2022-06-07 00:34:00,1821.7,1824.25,1776.51,1782.96,78368.0888
2022-06-07 01:50:00,1782.95,1783.64,1742.0,1743.08,185996.95930000002
2022-06-07 05:53:00,1743.08,1764.76,1725.13,1764.29,246160.4105
2022-06-07 12:25:00,1764.29,1777.25,1736.17,1738.29,195170.9072
2022-06-07 14:33:00,1738.3,1773.48,1737.88,1773.15,96121.2689
2022-06-07 18:32:00,1773.16,1810.2,1768.7,1808.34,161106.7841
2022-06-07 19:39:00,1808.35,1844.47,1803.1,1844.13,64874.0138
2022-06-07 22:41:00,1844.13,1874.98,1831.07,1832.32,183054.6454
2022-06-07 22:47:00,1832.32,1834.0,1787.35,1790.11,21353.285900000003
2022-06-07 22:54:00,1790.11,1818.07,1753.03,1817.27,43723.1598
2022-06-07 23:40:00,1817.28,1836.06,1782.06,1829.76,82048.0179
2022-06-08 01:08:00,1829.76,1829.77,1788.28,1792.22,63779.8038
2022-06-08 02:07:00,1792.21,1836.07,1791.07,1832.34,42696.1595
2022-06-08 03:19:00,1832.33,1835.73,1794.27,1798.16,41130.8922
2022-06-08 03:35:00,1798.15,1807.02,1765.42,1766.75,38823.9608
2022-06-08 05:39:00,1766.75,1805.07,1765.28,1802.6,145532.2543
2022-06-08 13:39:00,1802.6,1827.2,1783.22,1826.16,264146.9971
2022-06-08 16:32:00,1826.16,1838.77,1795.0,1795.11,166854.0769
2022-06-08 21:58:00,1795.12,1813.4,1771.53,1809.71,152444.504
2022-06-09 08:36:00,1809.7,1817.07,1777.33,1814.17,198211.7438
2022-06-09 12:37:00,1814.17,1833.0,1791.44,1793.82,109487.4264
2022-06-10 00:13:00,1793.81,1818.42,1772.0,1776.79,278100.0989
2022-06-10 03:01:00,1776.79,1796.4,1745.01,1793.95,94948.1131
2022-06-10 09:54:00,1793.96,1804.32,1765.0,1766.33,103388.6164
2022-06-10 12:33:00,1766.33,1782.0,1731.0,1734.81,91417.6166
2022-06-10 13:26:00,1734.8,1757.73,1712.0,1714.03,116289.83009999999
2022-06-10 14:50:00,1714.1,1748.47,1708.01,1746.96,120151.7628
2022-06-10 16:27:00,1746.96,1749.58,1708.5,1708.51,78116.7243
2022-06-10 16:28:00,1708.5,1708.9,1672.0,1672.11,33113.86815
2022-06-10 23:24:00,1672.11,1695.0,1657.3,1657.34,284764.41694
2022-06-11 08:37:00,1657.35,1682.21,1628.0,1637.45,177529.76152
2022-06-11 08:59:00,1637.62,1643.9,1575.0,1578.19,84849.04487
2022-06-11 09:11:00,1578.19,1598.12,1545.0,1597.53,70197.44045
2022-06-11 11:16:00,1597.53,1614.78,1578.17,1580.35,96847.8912
2022-06-11 12:47:00,1580.34,1591.42,1555.0,1557.96,96232.8701
2022-06-11 14:54:00,1557.97,1581.13,1517.0,1523.14,187802.73351
2022-06-11 15:41:00,1522.75,1540.21,1501.0,1503.4,116182.50094
2022-06-11 16:45:00,1503.4,1546.96,1496.74,1541.71,138442.24101
2022-06-11 18:38:00,1541.7,1571.05,1528.27,1569.42,89381.8079
2022-06-11 20:30:00,1570.98,1578.0,1535.02,1535.02,70776.4553
2022-06-11 22:53:00,1535.03,1553.19,1518.0,1552.19,76126.9555
2022-06-12 01:16:00,1552.2,1552.2,1516.96,1520.8,85665.086
2022-06-12 02:26:00,1520.79,1526.29,1482.0,1484.13,80458.40109
2022-06-12 02:58:00,1483.49,1492.73,1450.0,1451.27,118895.08718
2022-06-12 05:03:00,1451.27,1480.0,1432.0,1440.47,122634.32701
2022-06-12 06:30:00,1440.53,1464.43,1423.0,1461.67,131511.169
2022-06-12 08:31:00,1461.66,1485.0,1450.58,1483.13,104159.3667
2022-06-12 13:47:00,1483.14,1486.9,1452.07,1453.27,251097.8164
2022-06-12 14:24:00,1453.26,1467.0,1429.0,1466.64,70592.0763
2022-06-12 14:32:00,1466.63,1507.16,1461.63,1494.02,45731.3268
2022-06-12 14:52:00,1494.01,1510.0,1470.08,1507.35,44867.856400000004
2022-06-12 15:19:00,1507.35,1544.0,1500.59,1537.68,70786.7727
2022-06-12 16:39:00,1537.68,1547.0,1509.09,1509.3,93680.1993
2022-06-12 19:17:00,1509.31,1527.55,1486.95,1487.26,113586.9775
2022-06-12 22:01:00,1487.26,1494.57,1457.48,1458.01,127817.7698
2022-06-12 23:54:00,1458.0,1476.35,1440.89,1441.72,130347.66960000001
